Date,Store_ID,Category,Sub_Category,Product_Name,Product_ID,Region,Inventory_Level,Units_Sold,Units_Ordered,Demand_Forecast,Price,Discount,Weather_Condition,Holiday_Promotion,Competitor_Pricing,Seasonality
2023-01-12,S001,AUTOMOTIVE,Engine Parts,Engine Oil,P0001,North,392,14,113,11.51,64.97,5,Rainy,0,64.08,Winter
2023-01-21,S009,FOOD & GROCERIES,Bakery & Bread,White Bread,P0002,North,251,58,59,66.46,80.87,5,Rainy,0,82.88,Winter
2023-01-23,S007,HOME IMPROVEMENT,Paint & Finishes,Exterior Paint,P0003,North,235,65,27,54.67,63.57,15,Sunny,0,58.07,Winter
2023-01-03,S009,KITCHEN,Small Appliances,Mixer Grinder,P0004,East,262,66,47,59.22,81.73,10,Rainy,0,74.55,Winter
2023-01-12,S005,BOOKS & MEDIA,Music CDs & Vinyl Records,Classical Vinyl Record,P0005,South,280,45,150,47.84,23.01,10,Cloudy,0,21.8,Winter
2023-01-06,S006,AUTOMOTIVE,Engine Parts,Oil Filter,P0006,South,195,55,48,58.69,72.53,15,Sunny,0,79.52,Winter
2023-01-24,S010,AUTOMOTIVE,Tires & Wheels,Steel Wheel Rim,P0007,East,476,1,163,0.89,30.72,5,Cloudy,1,31.48,Winter
2023-01-09,S006,KITCHEN,Cookware,Saucepan,P0008,West,151,56,2,46.45,12.7,10,Sunny,0,11.72,Winter
2023-01-08,S010,BOOKS & MEDIA,Music CDs & Vinyl Records,Rock Music CD,P0009,East,139,27,44,25.27,59.91,0,Sunny,0,56.06,Winter
2023-01-29,S002,FOOD & GROCERIES,Fresh Produce,Spinach,P0010,North,169,54,53,49.79,31.61,5,Sunny,0,33.57,Winter
2023-01-12,S010,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Pencil Pack,P0011,West,191,37,95,34.31,48.66,0,Sunny,1,49.98,Winter
2023-01-14,S009,FOOD & GROCERIES,Bakery & Bread,Wheat Bread,P0012,East,162,46,32,52.47,97.15,5,Rainy,0,104.65,Winter
2023-01-28,S010,KITCHEN,Small Appliances,Electric Kettle,P0013,North,158,72,45,66.87,43.65,10,Rainy,0,45.35,Winter
2023-01-19,S005,OFFICE & SCHOOL SUPPLIES,Paper & Notebooks,Spiral Notebook,P0014,West,466,47,115,53.83,45.63,15,Sunny,1,43.86,Winter
2023-01-10,S005,HOME IMPROVEMENT,Hand Tools,Screwdriver Set,P0015,North,185,102,119,102.5,40.27,20,Cloudy,1,39.88,Winter
2023-01-24,S008,HOME IMPROVEMENT,Paint & Finishes,Exterior Paint,P0003,East,257,49,67,51.85,42.32,5,Cloudy,1,38.79,Winter
2023-01-15,S004,AUTOMOTIVE,Engine Parts,Oil Filter,P0006,North,198,26,64,23.95,83.4,0,Cloudy,0,86.46,Winter
2023-01-14,S010,BOOKS & MEDIA,Physical Books,Business Book,P0016,South,406,60,88,66.8,46.34,5,Sunny,1,45.47,Winter
2023-01-13,S009,AUTOMOTIVE,Engine Parts,Oil Filter,P0006,South,419,25,141,27.58,75.03,0,Snowy,0,74.45,Winter
2023-01-13,S007,FOOD & GROCERIES,Dairy & Eggs,Skim Milk,P0017,West,293,9,95,7.7,88.64,10,Rainy,0,85.19,Winter
2023-01-04,S006,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Gel Pen,P0018,East,229,62,76,57.69,12.09,10,Snowy,0,12.78,Winter
2023-01-26,S010,KITCHEN,Small Appliances,Electric Kettle,P0013,West,191,65,98,56.9,19.78,0,Sunny,0,20.06,Winter
2023-01-15,S003,HOME IMPROVEMENT,Paint & Finishes,Interior Wall Paint,P0019,North,394,87,98,79.48,30.97,0,Rainy,1,31.96,Winter
2023-01-07,S006,FOOD & GROCERIES,Dairy & Eggs,Whole Milk,P0020,North,169,58,40,69.36,21.62,5,Cloudy,0,21.27,Winter
2023-01-29,S004,OFFICE & SCHOOL SUPPLIES,Writing Instruments,Gel Pen,P0018,South,213,71,79,73.48,55.22,5,Snowy,0,57.26,Winter
2023-01-19,S003,BOOKS & MEDIA,Physical Books,Fiction Novel,P0021,West,132,84,84,97.79,89.13,10,Sunny,0,88.42,Winter
2023-01-05,S002,AUTOMOTIVE,Engine Parts,Spark Plug,P0022,East,340,37,44,35.74,26.16,5,Snowy,0,26.78,Winter
2023-01-24,S003,HOME IMPROVEMENT,Paint & Finishes,Exterior Paint,P0003,North,336,35,70,40.36,58.4,20,Sunny,0,60.35,Winter
